id,budget,genre,original_language,popularity,year,month,release_date,revenue,runtime,vote_average,vote_count,country
51162,30000000,Animation,en,7.357682,2011,4,2011/4/13,14460000,63,6.8,263,US
41513,110000000,Animation,en,10.219758,2011,7,2011/7/29,563749323,103,5.5,1201,US
43935,20000000,Action,en,12.763976,2011,3,2011/3/16,4634062,107,4.5,142,US
50544,35000000,Romance,en,10.009007,2011,7,2011/7/21,150483765,109,6.5,2306,US
12819,20000000,Family,en,8.16645,2010,9,2010/9/17,39300000,88,5.3,125,US
55846,15774948,Crime,en,9.491865,2011,5,2011/5/20,741875,97,6,496,GB
59968,10000000,Comedy,en,5.918193,2011,8,2011/8/26,17273593,90,5.9,369,US
61791,93000000,Thriller,en,41.613762,2011,8,2011/8/3,482860185,105,7,4452,US
49520,52000000,Comedy,en,6.906145,2011,8,2011/8/5,75450437,112,5.9,753,US
50014,25000000,Drama,en,7.486118,2011,8,2011/8/9,124272124,146,7.9,1966,IN
62206,28000000,Action,en,9.763493,2011,8,2011/8/11,40547440,83,5.6,537,US
55779,47000000,Horror,en,12.912491,2011,8,2011/8/12,157887643,92,5.9,892,US
60309,25000000,Crime,en,5.481452,2010,9,2010/9/10,15478800,122,6.2,138,US
55465,19000000,Comedy,en,10.724679,2011,11,2011/11/4,35387212,108,6,335,US
40794,7000000,Comedy,it,5.633243,2010,2,2010/2/12,8220215,110,7.1,122,IT
56288,27000000,Family,en,9.580214,2011,8,2011/8/18,85564310,89,4.4,228,US
46261,25000000,Fantasy,en,8.67817,2010,11,2010/11/6,36993168,99,5.4,347,US
58151,17000000,Horror,en,9.665251,2011,8,2011/8/18,24922237,106,6,617,GB
55420,100000,Drama,en,8.957372,2011,7,2011/7/22,1776935,92,6.8,535,US
44835,7000000,Drama,en,5.886972,2010,1,2010/1/22,382946,106,6.7,218,US
52015,650000,Drama,en,7.814255,2010,9,2010/9/30,33245,98,6.2,290,US
48289,20000000,Drama,en,8.426611,2010,4,2010/4/11,45636368,113,6.2,261,US
62835,40000000,Action,en,8.062578,2011,7,2011/7/27,60965854,108,6.5,848,FR
63311,13000000,Drama,es,9.782542,2011,8,2011/8/17,5774854,117,7.4,797,ES
